类型,名称,代码
主題,折磨,62
主題,嘔吐,5g
主題,觸手,59
主題,蠻橫嬌羞,57
主題,處男,52
主題,正太控,4y
主題,出軌,4r
主題,瘙癢,4e
主題,運動,4d
主題,女同接吻,4a
主題,性感的,49
主題,美容院,44
主題,處女,41
主題,爛醉如泥的,40
主題,殘忍畫面,3x
主題,妄想,3w
主題,惡作劇,3v
主題,學校作品,3t
主題,粗暴,3r
主題,通姦,3g
主題,姐妹,3e
主題,雙性人,3d
主題,跳舞,3c
主題,性奴,3b
主題,倒追,37
主題,性騷擾,35
主題,其他,2y
主題,戀腿癖,2x
主題,偷窥,2v
主題,花癡,2t
主題,男同性恋,2r
主題,情侶,2e
主題,戀乳癖,2d
主題,亂倫,20
主題,其他戀物癖,1y
主題,偶像藝人,1u
主題,野外・露出,1i
主題,獵豔,1e
主題,女同性戀,1d
主題,企畫,11
主題,10枚組,6h
主題,科幻,61
主題,女優ベスト・総集編,6i
主題,温泉,6j
主題,M男,6k
主題,原作コラボ,6l
主題,16時間以上作品,6n
主題,デカチン・巨根,6o
主題,ファン感謝・訪問,6p
主題,動画,6q
主題,巨尻,6r
主題,ハーレム,6s
主題,日焼け,6t
主題,早漏,6u
主題,キス・接吻,6v
主題,汗だく,6w
主題,スマホ専用縦動画,77
主題,Vシネマ,7d
主題,Don Cipote's choice,7c
主題,アニメ,7f
主題,アクション,7g
主題,イメージビデオ（男性）,7h
主題,孕ませ,7i
主題,ボーイズラブ,7j
主題,ビッチ,7t
主題,特典あり（AVベースボール）,7u
主題,コミック雑誌,7v
主題,時間停止,7w
角色,黑幫成員,5w
角色,童年朋友,5k
角色,公主,5i
角色,亞洲女演員,5f
角色,伴侶,58
角色,講師,4s
角色,婆婆,4l
角色,格鬥家,4h
角色,女檢察官,3o
角色,明星臉,39
角色,女主人、女老板,38
角色,模特兒,34
角色,秘書,32
角色,美少女,30
角色,新娘、年輕妻子,2z
角色,姐姐,2w
角色,格鬥家,2q
角色,車掌小姐,2o
角色,寡婦,2f
角色,千金小姐,2b
角色,白人,2a
角色,已婚婦女,29
角色,女醫生,27
角色,各種職業,26
角色,妓女,23
角色,賽車女郎,21
角色,女大學生,1x
角色,展場女孩,1v
角色,女教師,1n
角色,母親,1k
角色,家教,1c
角色,护士,17
角色,蕩婦,10
角色,黑人演員,z
角色,女生,p
角色,女主播,c
角色,高中女生,b
角色,服務生,7
角色,魔法少女,5r
角色,學生（其他）,65
角色,動畫人物,64
角色,遊戲的真人版,6c
角色,超級女英雄,6f
服裝,女戰士,5h
服裝,及膝襪,5c
服裝,娃娃,5b
服裝,女忍者,56
服裝,女裝人妖,55
服裝,內衣,50
服裝,猥褻穿著,4z
服裝,兔女郎,4p
服裝,貓耳女,4n
服裝,女祭司,4k
服裝,泡泡襪,4i
服裝,制服,3i
服裝,緊身衣,3a
服裝,裸體圍裙,2s
服裝,迷你裙警察,2m
服裝,空中小姐,2l
服裝,連褲襪,28
服裝,身體意識,1w
服裝,OL,18
服裝,和服・喪服,12
服裝,體育服,y
服裝,內衣,v
服裝,水手服,m
服裝,學校泳裝,l
服裝,旗袍,k
服裝,女傭,j
服裝,迷你裙,i
服裝,校服,a
服裝,泳裝,9
服裝,眼鏡,8
服裝,角色扮演,1
服裝,哥德蘿莉,6b
體型,超乳,5d
體型,肌肉,4x
體型,乳房,3n
體型,嬌小的,3k
體型,屁股,2k
體型,高,2i
體型,變性者,2g
體型,無毛,22
體型,胖女人,1t
體型,苗條,1f
體型,孕婦,15
體型,成熟的女人,13
體型,蘿莉塔,w
體型,貧乳・微乳,t
體型,巨乳,e
行為,顏面騎乘,4w
行為,食糞,4t
行為,足交,4j
行為,母乳,47
行為,手指插入,46
行為,按摩,45
行為,女上位,42
行為,舔陰,3q
行為,拳交,3l
行為,深喉,3f
行為,69,2h
行為,淫語,24
行為,潮吹,1z
行為,乳交,1s
行為,排便,1r
行為,飲尿,1p
行為,口交,1o
行為,濫交,1j
行為,放尿,19
行為,打手槍,x
行為,吞精,u
行為,肛交,r
行為,顏射,n
行為,自慰,h
行為,顏射,5
行為,中出,4
行為,肛内中出,6m
玩法,立即口交,51
玩法,女優按摩棒,4f
玩法,子宮頸,4c
玩法,催眠,4b
玩法,乳液,3z
玩法,羞恥,3y
玩法,凌辱,3s
玩法,拘束,3p
玩法,輪姦,3m
玩法,插入異物,3h
玩法,鴨嘴,36
玩法,灌腸,2u
玩法,監禁,25
玩法,紧缚,1q
玩法,強姦,1m
玩法,藥物,1l
玩法,汽車性愛,1h
玩法,SM,1b
玩法,糞便,1a
玩法,玩具,14
玩法,跳蛋,q
玩法,緊縛,d
玩法,按摩棒,6
玩法,多P,3
玩法,性愛,5m
玩法,假陽具,5y
玩法,逆強姦,63
類別,合作作品,60
類別,恐怖,5z
類別,給女性觀眾,5t
類別,教學,5s
類別,DMM專屬,5q
類別,R-15,5o
類別,R-18,5n
類別,3D,5e
類別,特效,5a
類別,故事集,54
類別,限時降價,53
類別,複刻版,4v
類別,戲劇,4u
類別,戀愛,4q
類別,高畫質,4o
類別,主觀視角,4m
類別,介紹影片,48
類別,4小時以上作品,43
類別,薄馬賽克,3u
類別,經典,3j
類別,首次亮相,33
類別,數位馬賽克,31
類別,投稿,2p
類別,纪录片,2n
類別,國外進口,2c
類別,第一人稱攝影,1g
類別,業餘,16
類別,局部特寫,s
類別,獨立製作,o
類別,DMM獨家,g
類別,單體作品,f
類別,合集,2
類別,高清,hd
類別,字幕,sub
類別,天堂TV,2j
類別,DVD多士爐,4g
類別,AV OPEN 2014 スーパーヘビー,66
類別,AV OPEN 2014 ヘビー級,69
類別,AV OPEN 2014 ミドル級,6a
類別,AV OPEN 2015 マニア/フェチ部門,70
類別,AV OPEN 2015 熟女部門,71
類別,AV OPEN 2015 企画部門,72
類別,AV OPEN 2015 乙女部門,73
類別,AV OPEN 2015 素人部門,74
類別,AV OPEN 2015 SM/ハード部門,75
類別,AV OPEN 2015 女優部門,76
類別,AVOPEN2016人妻・熟女部門,7k
類別,AVOPEN2016企画部門,7l
類別,AVOPEN2016ハード部門,7m
類別,AVOPEN2016マニア・フェチ部門,7n
類別,AVOPEN2016乙女部門,7o
類別,AVOPEN2016女優部門,7p
類別,AVOPEN2016ドラマ・ドキュメンタリー部門,7q
類別,AVOPEN2016素人部門,7r
類別,AVOPEN2016バラエティ部門,7s
類別,VR専用,7x
類別,堵嘴·喜劇,7y
類別,幻想,7z
類別,性別轉型·女性化,80
類別,為智能手機推薦垂直視頻,81
類別,設置項目,82
類別,迷你係列,83
類別,體驗懺悔,84
類別,黑暗系統,85
其他,オナサポ,dx
其他,アスリート,dy
其他,覆面・マスク,dz
其他,ハイクオリティVR,e0
其他,ヘルス・ソープ,e1
其他,ホテル,e2
其他,アクメ・オーガズム,e3
其他,花嫁,e4
其他,デート,e5
其他,軟体,e6
其他,娘・養女,e7
其他,スパンキング,e8
其他,スワッピング・夫婦交換,e9
其他,部下・同僚,ea
其他,旅行,eb
其他,胸チラ,ec
其他,バック,ed
其他,エロス,ee
其他,男の潮吹き,ef
其他,女上司,eg
其他,セクシー,eh
其他,受付嬢,ei
其他,ノーブラ,ej
其他,白目・失神,ek
其他,M女,el
其他,女王様,em
其他,ノーパン,en
其他,セレブ,eo
其他,病院・クリニック,ep
其他,面接,eq
其他,お風呂,er
其他,叔母さん,es
其他,罵倒,et
其他,お爺ちゃん,eu
其他,逆レイプ,ev
其他,ディルド,ew
其他,ヨガ,ex
其他,飲み会・合コン,ey
其他,部活・マネージャー,ez
其他,お婆ちゃん,f0
其他,ビジネススーツ,f1
其他,チアガール,f2
其他,ママ友,f3
其他,エマニエル,f4
其他,妄想族,f5
其他,蝋燭,f6
其他,鼻フック,f7
其他,放置,f8
其他,サンプル動画,f9
其他,サイコ・スリラー,fa
其他,ラブコメ,fb
其他,オタク,fc
其他,4K,fd
其他,福袋,fe
其他,玩具責め,ff
其他,女優,fj
其他,お掃除フェラ,fl
其他,筆おろし,fn
其他,美脚,fq
其他,美尻,ft
其他,フェチ,fu
其他,羞恥プレイ,fw
其他,逆ナンパ,fx
其他,着衣,fy
其他,誘惑,g0
其他,チラリズム,g1
其他,写真集,g2
其他,書籍版,g3
其他,SM拘束,g4
其他,ドキュメント,g6
其他,グッズ,g9
其他,Tシャツ,ga
其他,失禁,gb
其他,オナホール,gc
其他,カップホール,gd
其他,非貫通,ge
其他,ローション付き,gf
其他,配信専用,gh
其他,官能小説,gi
其他,CD,gj
其他,生挿入,gk
其他,風俗,gl
其他,外国人,gm
其他,淫語責め,gn
其他,アナルファック,go
其他,脚コキ,gp
其他,オイルプレイ,gq
其他,キャバ嬢,gr
其他,調教,gs
其他,ローション・オイル,gt
其他,媚薬,gu
其他,顔面騎乗位,gv
其他,微乳,gw
其他,デカチン,gx
其他,3P、4P,gy
其他,野外,gz
其他,露出,h0
其他,レイプ,h1
其他,ベスト、総集編,h2
其他,マジックミラー号,h3
其他,看護師,h4
其他,アイドル,h5
其他,妹,h6
其他,スクール水着,h7
其他,デリヘル,h8
其他,凌辱,h9
其他,童貞モノ,ha
其他,ブルマ,hb
其他,ホテヘル,hc
其他,縛り,hd
其他,ロリータ,he
其他,ミニスカート,hf
其他,尻,hg
其他,奴隷,hh
其他,芸能人,hi
其他,下着,hj
其他,母親,hk
其他,湯,hl
其他,教師,hm
其他,ストッキング,hn
其他,電車、バス,ho
其他,健康診断,hp
其他,野球拳,hq
其他,浴衣,hr
其他,爆乳,hs
其他,ソープ,ht
其他,スワッピング,hu
其他,メガネ,hv
其他,素股,hw
其他,ドリンク,hx
其他,フルハイビジョン(FHD),hy
其他,三十路,hz
其他,羞恥・辱め,i0
其他,パンチラモノ,i1
其他,放尿・失禁,i2
其他,五十路,i3
其他,ショートヘアー,i4
其他,着物・浴衣,i5
其他,清楚,i6
其他,四十路,i7
其他,VR,i8
其他,オモチャ,i9
其他,エステ・マッサージ,ia
其他,Gカップ,ib
其他,目隠し,ic
其他,ドラッグ・媚薬,id
其他,六十路,ie
其他,淫語モノ,if
其他,口内発射,ig
其他,童顔,ih
其他,スチュワーデス・CA,ii
其他,Dカップ,ij
其他,美熟女,ik
其他,MGSだけのおまけ映像付き,il
其他,手マン,im
其他,パンストモノ,in
其他,フェラモノ,io
其他,性教育,ip
其他,HowTo,iq
其他,MGS限定特典映像,ir
其他,寝取り･寝取られ,is
其他,Eカップ,it
其他,Fカップ,iu
其他,ロングヘアー,iv
其他,黒髪,iw
其他,ショートヘア,ix
其他,金髪,iy
其他,茶髪,iz
其他,女子高生,j0
其他,ハーフ,j1
其他,金髪・ブロンド,j2
其他,初撮り,j3
其他,介護,j4
其他,Hカップ,j5
其他,期間限定販売,j6
其他,多人数,j7
其他,風俗嬢,j8
其他,PICKUP素人,j9
其他,オイル・ローション,ja
其他,8KVR,jb
其他,プレステージ20周年特別企画,jc
其他,口内射精,jd
其他,美女,je
其他,MGSだけの特典映像付,jf
其他,色白,jg
其他,総集編・ベスト,jh
其他,近●相●,ji
其他,ハイビジョン(HD),jj
其他,配信専用素人,jk
其他,台湾モデル,jl
其他,ショートカット,jm
其他,巨乳,jn
其他,清楚,jo
其他,お姉さん,jp
其他,長身,jq
其他,ギャル,jr
其他,美乳,js
其他,パイパン,jt
其他,スレンダー,ju
其他,貧乳・微乳,jv
其他,ミニ系,jw
其他,小柄,jx
其他,くびれ,jy
其他,ぽっちゃり,jz
其他,黒髪,k0
其他,色白,k1
其他,金髪,k2
其他,茶髪,k3
其他,美脚,k4
其他,ロングヘアー,k5
其他,外国人,k6
其他,ショートヘアー,k7
其他,お嬢様・令嬢,k8
其他,ミディアムヘアー,k9
其他,AI生成作品,ka